title,alias
Managing Director,md
Managing Director,m.d.
Managing Director,managing dir
Managing Director,partner
Associate Director,assoc director
Associate Director,ad
Associate Consultant,assoc consultant
Associate Consultant,ac
Associate Consultant,consultant
Director,dir
Director,d.
Senior Director,sr director
Senior Director,senior dir
Senior Director,sdir
Principal,principal consultant
Principal,principal advisor
Principal,partner principal
Business Analyst,analyst
Business Analyst,ba
Business Analyst,biz analyst
